sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus,errors
"Super Skinny Suit Jacket Blackjpg S",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product3,,,,,,,30,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_suit_jacket_in_blackjpg.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Suit Jacket Brown L",,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product6,,,,,,,60,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_suit_jacket_in_brown.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Four Button Suit Black S",,Default,simple,"Tech Affair/Sale",base,product13,,,,,,,130,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_four_button_suit_in_black.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Four Button Suit Grey S",,Default,simple,"Tech Affair/Sale",base,product18,,,,,,,180,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_four_button_suit_in_grey.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
watch,,Default_Old,simple,"Tech Affair/Gadgets",base,product23,,,,,,,230,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3_1.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
watch-1,,Default_Old,simple,"Tech Affair/Gadgets",base,product24,,,,,,,240,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/3/p3_1_1.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
Cell-phone,,Default_Old,simple,"Tech Affair/Gadgets",base,product25,,,,,,,250,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/132.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
test5,,Default_Old,simple,"Tech Affair/Gadgets",base,product26,,,,,,,260,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/4/p4_3_2.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
Dec30test,,Default,simple,"Tech Affair/Gadgets",base,product27,,,,,,,270,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/p/6/p6_1.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
dec30test2,,Default,simple,"Tech Affair/Gadgets",base,product28,,,,,,,280,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/3/132_1.jpg,,,,,,,,,,,,,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
