sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
Super Skinny Four Button Suit Black L,,Default,simple,Tech Affair/Sale,base,product1,,,,,,,10,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg M,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product2,,,,,,,20,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg S,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product3,,,,,,,30,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_suit_jacket_in_blackjpg.jpg,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg XL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product4,,,,,,,40,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg XXL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product5,,,,,,,50,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown L,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product6,,,,,,,60,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_suit_jacket_in_brown.jpg,,,,,,,,,,,,
Super Skinny Suit Jacket Brown M,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product7,,,,,,,70,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown S,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product8,,,,,,,80,,,,,,,,p2.jpg,,p2.jpg,,p2.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown XL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product9,,,,,,,90,,,,,,,,p3.jpg,,p3.jpg,,p3.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg L,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product10,,,,,,,100,,,,,,,,p4.jpg,,p4.jpg,,p4.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey XXL,,Default,simple,"Tech Affair/Sale,Tech Affair/Bow ties/COVERPLATE USB CHARGER,Tech Affair/Bow ties/COVERPLATE USB CHARGER/subcategory 4",base,product11,,,,,,,110,,,,,,,,p5.jpg,,p5.jpg,,p5.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Black M,,Default,simple,Tech Affair/Sale,base,product12,,,,,,,120,,,,,,,,p6.jpg,,p6.jpg,,p6.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Black S,,Default,simple,Tech Affair/Sale,base,product13,,,,,,,130,,,,,,,,p1.jpg,,p1.jpg,,p1.jpg,,,,,,,,,,,,,,,,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,0,0,,,,,,,/s/u/super_skinny_four_button_suit_in_black.jpg,,,,,,,,,,,,
