sku,base_image,small_image,thumbnail_image,name,errors
"Super Skinny Four Button Suit Black L",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Four Button Suit Black L","Product with specified SKU not found"
"Super Skinny Suit Jacket Blackjpg M",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Blackjpg M","Product with specified SKU not found"
"Super Skinny Suit Jacket Blackjpg S",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Suit Jacket Blackjpg S","Product with specified SKU not found"
"Super Skinny Suit Jacket Blackjpg XL",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Suit Jacket Blackjpg XL","Product with specified SKU not found"
"Super Skinny Suit Jacket Blackjpg XXL",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Suit Jacket Blackjpg XXL","Product with specified SKU not found"
"Super Skinny Suit Jacket Brown L",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Suit Jacket Brown L","Product with specified SKU not found"
"Super Skinny Suit Jacket Brown M",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Suit Jacket Brown M","Product with specified SKU not found"
"Super Skinny Suit Jacket Brown S",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Brown S","Product with specified SKU not found"
"Super Skinny Suit Jacket Brown XL",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Suit Jacket Brown XL","Product with specified SKU not found"
"Super Skinny Suit Jacket Blackjpg L",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Suit Jacket Blackjpg L","Product with specified SKU not found"
"Super Skinny Four Button Suit Grey XXL",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Four Button Suit Grey XXL","Product with specified SKU not found"
"Super Skinny Four Button Suit Black M",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Four Button Suit Black M","Product with specified SKU not found"
"Super Skinny Four Button Suit Black S",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Four Button Suit Black S","Product with specified SKU not found"
"Super Skinny Four Button Suit Black XL",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Four Button Suit Black XL","Product with specified SKU not found"
"Super Skinny Four Button Suit Black XXL",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Four Button Suit Black XXL","Product with specified SKU not found"
"Super Skinny Four Button Suit Grey L",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Four Button Suit Grey L","Product with specified SKU not found"
"Super Skinny Four Button Suit Grey M",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Four Button Suit Grey M","Product with specified SKU not found"
"Super Skinny Four Button Suit Grey S",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Four Button Suit Grey S","Product with specified SKU not found"
"Super Skinny Four Button Suit Grey XL",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Four Button Suit Grey XL","Product with specified SKU not found"
"Super Skinny Suit Jacket Brown XXL",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Brown XXL","Product with specified SKU not found"
