sku,base_image,small_image,thumbnail_image,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
Super Skinny Four Button Suit Black L,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg M,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg S,p3.jpg,p3.jpg,p3.jpg,,,,,,,/s/u/super_skinny_suit_jacket_in_blackjpg.jpg,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg XL,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg XXL,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown L,p6.jpg,p6.jpg,p6.jpg,,,,,,,/s/u/super_skinny_suit_jacket_in_brown.jpg,,,,,,,,,,,,
Super Skinny Suit Jacket Brown M,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown S,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown XL,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Blackjpg L,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey XXL,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Black M,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Black S,p1.jgp,p1.jgp,p1.jgp,,,,,,,/s/u/super_skinny_four_button_suit_in_black.jpg,,,,,,,,,,,,
Super Skinny Four Button Suit Black XL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Black XXL,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey L,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey M,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Four Button Suit Grey S,p6.jpg,p6.jpg,p6.jpg,,,,,,,/s/u/super_skinny_four_button_suit_in_grey.jpg,,,,,,,,,,,,
Super Skinny Four Button Suit Grey XL,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Brown XXL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue L,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue M,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,,,,,,,,,,,
watch,p5.jpg,p5.jpg,p5.jpg,,,,,,,/p/4/p4_3_1.jpg,,,,,,,,,,,,
watch,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,,,,,,,,,,,
watch-1,p1.jgp,p1.jgp,p1.jgp,,,,,,,/p/3/p3_1_1.jpg,,,,,,,,,,,,
watch-1,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,,,,,,,,,,,
Cell-phone,p3.jpg,p3.jpg,p3.jpg,,,,,,,/1/3/132.jpg,,,,,,,,,,,,
Cell-phone,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,,,,,,,,,,,
test5,p5.jpg,p5.jpg,p5.jpg,,,,,,,/p/4/p4_3_2.jpg,,,,,,,,,,,,
Dec30test,p6.jpg,p6.jpg,p6.jpg,,,,,,,/p/6/p6_1.jpg,,,,,,,,,,,,
dec30test2,p1.jgp,p1.jgp,p1.jgp,,,,,,,/1/3/132_1.jpg,,,,,,,,,,,,
dec30test7,p2.jpg,p2.jpg,p2.jpg,,,,,,,/p/5/p5_2.jpg,,,,,,,,,,,,
dec30test9,p3.jpg,p3.jpg,p3.jpg,,,,,,,/1/3/133_1.jpg,,,,,,,,,,,,
Product 10-1,p4.jpg,p4.jpg,p4.jpg,,,,,,,"/s/u/super_skinny_fit_suit_in_brown_1_6.jpg,/n/o/noose___monkey_super_skinny_suit_1_6.jpg,/h/e/heart___dagger_tonal_brushed_check_suit_1_6.jpg,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_2_6.jpg",",,,",,,,,,,,,,,
product 12-1-1-1,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue S,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue XL,p1.jgp,p1.jgp,p1.jgp,,,,,,,/s/u/super_skinny_suit_jacket_in_deep_blue.jpg,,,,,,,,,,,,
Super Skinny Suit Jacket Deep Blue XXL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,,,,,,,,,,,
Product 10,p3.jpg,p3.jpg,p3.jpg,,,,,,,"/s/u/super_skinny_fit_suit_in_brown_1.jpg,/n/o/noose___monkey_super_skinny_suit_1.jpg,/h/e/heart___dagger_tonal_brushed_check_suit_1.jpg,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_2.jpg",",,,",,,,,,,,,,,
product 11,p4.jpg,p4.jpg,p4.jpg,,,,,,,/f/a/farah_skinny_suit_jacket_with_peak_lapel_in_blue_1.jpg,,,,,,,,,,,,
product 12,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,,,,,,,,,,,
product 12-1,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,,,,,,,,,,,
product 12-1-1,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,,,,,,,,,,,
