sku,base_image,small_image,thumbnail_image,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type
Super Skinny Four Button Suit Black L,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Super Skinny Suit Jacket Blackjpg M,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Super Skinny Suit Jacket Blackjpg S,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Super Skinny Suit Jacket Blackjpg XL,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Super Skinny Suit Jacket Blackjpg XXL,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Super Skinny Suit Jacket Brown L,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Super Skinny Suit Jacket Brown M,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Super Skinny Suit Jacket Brown S,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Super Skinny Suit Jacket Brown XL,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Super Skinny Suit Jacket Blackjpg L,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Super Skinny Four Button Suit Grey XXL,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Super Skinny Four Button Suit Black M,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Super Skinny Four Button Suit Black S,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Super Skinny Four Button Suit Black XL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Super Skinny Four Button Suit Black XXL,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Super Skinny Four Button Suit Grey L,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Super Skinny Four Button Suit Grey M,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Super Skinny Four Button Suit Grey S,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Super Skinny Four Button Suit Grey XL,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Super Skinny Suit Jacket Brown XXL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Super Skinny Suit Jacket Deep Blue L,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Super Skinny Suit Jacket Deep Blue M,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
watch,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
watch,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
watch-1,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
watch-1,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Cell-phone,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Cell-phone,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
test5,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Dec30test,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
dec30test2,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
dec30test7,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
dec30test9,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Product 10-1,p4.jpg,p4.jpg,p4.jpg,",,,",,,,,,,,
product 12-1-1-1,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Super Skinny Suit Jacket Deep Blue S,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Super Skinny Suit Jacket Deep Blue XL,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Super Skinny Suit Jacket Deep Blue XXL,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Product 10,p3.jpg,p3.jpg,p3.jpg,",,,",,,,,,,,
product 11,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
product 12,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
product 12-1,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
product 12-1-1,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
dec30test11,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Skinny Suit Jacket Burgundy XXL,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Jack & Jones Bow Tie Knitted,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
watch-2,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
watch-2,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
boot,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
boot,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
shoe,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
shoe,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Skinny Fit Shirt In Camel With Long Sleeves,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Reiss Slim Smart Shirt With Classic Collar,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
New Look Charcoal Shirt With Floral Print In Regular Print,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Military Shirt In Black Viscose In Regular Fit,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
knife-2,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
knife-2,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
Heart & Dagger Skinny Grandad Shirt In Chambray,p6.jpg,p6.jpg,p6.jpg,,,,,,,,,
Heart & Dagger Skinny Grandad Shirt In Chambray,p1.jgp,p1.jgp,p1.jgp,,,,,,,,,
Farah Oxford Shirt In Slim Fit Light Grey,p2.jpg,p2.jpg,p2.jpg,,,,,,,,,
Farah Oxford Shirt In Slim Fit Light Grey,p3.jpg,p3.jpg,p3.jpg,,,,,,,,,
Esprit Stretch Fit Shirt,p4.jpg,p4.jpg,p4.jpg,,,,,,,,,
Esprit Stretch Fit Shirt,p5.jpg,p5.jpg,p5.jpg,,,,,,,,,
