sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,meta_title,meta_keywords,base_image,small_image,thumbnail_image,display_product_options_in,gift_message_available,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
Product-2,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 2,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,product-2,product 2,product 2,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-3,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 3,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,product-3,product 3,product 3,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-4,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 4,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 4,product 4,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-5,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 5,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 5,product 5,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-6,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 6,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 6,product 6,p5.jpg,p5.jpg,p5.jpg,Block after Info Column,No,"color=Yellow,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-7,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 7,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 7,product 7,p6.jpg,p6.jpg,p6.jpg,Block after Info Column,No,"color=White,hover_image=no_selection,is_recurring=Yes,size=S",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-8,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 8,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 8,product 8,p1.jpg,p1.jpg,p1.jpg,Block after Info Column,No,"color=Black,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-9,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 9,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 9,product 9,p2.jpg,p2.jpg,p2.jpg,Block after Info Column,No,"color=Blue,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-10,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 10,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 10,product 10,p3.jpg,p3.jpg,p3.jpg,Block after Info Column,No,"color=Red,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
Product-11,Default,simple,Tech Affair/Bow ties/COVERPLATE USB CHARGER,base,Product 11,"This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.","This is where you can write a description of your product, and include any other information you would like your customer to know. Did you know you can also offer digital downloads using this shopping cart feature? Pretty cool! All products seen in this demo can be purchased at Tech-Affair.",1,1,Taxable Goods,"Catalog, Search",10,,product 11,product 11,p4.jpg,p4.jpg,p4.jpg,Block after Info Column,No,"color=Pink,hover_image=no_selection,is_recurring=Yes,size=M",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0
